Email,Phone Number
rdc.ahmednagar@maharashtra.gov.in,1800 120 8040
collector.ahmednagar@maharashtra.gov.in,0241-2345004
rdc_akola@rediffmail.com,0241-2345001
collector.akola@maharashtra.gov.in,0724-2435193
rdc.amravati@maharashtra.gov.in,0724-2424442
collector.amravati@maharashtra.gov.in,0721-2662493
rdc.aurangabad@maharashtra.gov.in,0721-2662522
collector.aurangabad@maharashtra.gov.in,0240-2334127
rdc.beed@maharashtra.gov.in,0240-2331200
collector.beed@maharashtra.gov.in,02442-222604
rdcbhandara@gmail.com,02442-222201
collector.bhandara@maharashtra.gov.in,07184-252346
rdc_buldhana@rediffmail.com,07184-254555
collector.buldhana@maharashtra.gov.in,07262-242411
rdc.chandrapur@maharashtra.gov.in,07262-242307
collector.chandrapur@maharashtra.gov.in,07172-255400
rdc.dhule@maharashtra.gov.in,07172-255300
collector.dhule@maharashtra.gov.in,02562-288705
rdc.gadchiroli@maharashtra.gov.in,02562-288701
collector.gadchiroli@maharashtra.gov.in,07132-222005
rdc.gondia@maharashtra.gov.in,07132-222001
collector.gondia@maharashtra.gov.in,07182-236147
rdc.hingoli@maharashtra.gov.in,07182-236149
collector.hingoli@maharashtra.gov.in,02456-221450
rdc.jalgaon@maharashtra.gov.in,02456-221701
collector.jalgaon@maharashtra.gov.in,0257-2220800
rdc.jalna@maharashtra.gov.in,0257-2220400
collector.jalna@maharashtra.gov.in,2242400
rdc.kolhapur@maharashtra.gov.in,02482-225502
collector.kolhapur@maharashtra.gov.in,02482-224700
rdclatur@gmail.com,0231-2654812
collector.latur@maharashtra.gov.in,0231-2654811
rdc.mumbaicity@maharashtra.gov.in,02382-243234
collector.mumbaicity@maharashtra.gov.in,02382-243001
rdc.mumbaisuburb@maharashtra.gov.in,022-22670656
collector.mumbaisuburb@maharashtra.gov.in,022-22662440
rdc.nagpur@maharashtra.gov.in,022-26556806
collector.nagpur@maharashtra.gov.in,022-26514742
nandedrdc@gmail.com,0712-2565976
collector.nanded@maharashtra.gov.in,0712-2564973
rdc.nandurbar@maharashtra.gov.in,02462-248418
collector.nandurbar@maharashtra.gov.in,02462-237101
rdc.nashik@maharashtra.gov.in,02564-210005
collector.nashik@maharashtra.gov.in,02564-221001
rdc.osmanabad@maharashtra.gov.in,0253-2578501
collector.osmanabad@maharashtra.gov.in,0253-2578500
rdcpalghar@gmail.com,02472-227303
collector.palghar@maharashtra.gov.in,02472-224501
rdc.parbhani@maharashtra.gov.in,02525-252520
collector.parbhani@maharashtra.gov.in,02525-253111
rdc.pune-mh@gov.in,02452-222702
collector.pune@maharashtra.gov.in,02452-223555
